status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
399030656818342_1100823903305677,SHWAPNO Introduces Fall Collection 2016 [FULL ALBUM]: http://bit.ly/FallCollection2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100823903305677/?type=3,2016-09-08 06:01:54,699,6,7,695,2,2,0,0,0,0,0.35,0.00,-1000.00,1.00,0.40,0.00
399030656818342_1100822769972457,SHWAPNO Introduces Fall Collection 2016 [FULL ALBUM]: http://bit.ly/FallCollection2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100822769972457/?type=3,2016-09-08 06:00:43,6239,12,5,6209,12,8,9,0,1,0,0.35,0.00,-1000.00,1.00,0.40,0.00
399030656818342_1100821883305879,SHWAPNO Introduces Fall Collection 2016 [FULL ALBUM]: http://bit.ly/FallCollection2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100821883305879/?type=3,2016-09-08 05:59:51,8086,10,6,8065,10,8,3,0,0,0,0.35,0.00,-1000.00,1.00,0.40,0.00
399030656818342_1100204253367642,SHWAPNO Introduces Fall Collection 2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100204253367642/?type=3,2016-09-07 12:30:00,359,3,3,355,3,0,1,0,0,0,0.00,0.00,-1000.00,2.00,0.40,0.00
399030656818342_1100204030034331,SHWAPNO Introduces Fall Collection 2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100204030034331/?type=3,2016-09-07 12:00:00,259,4,2,254,3,1,1,0,0,0,0.00,0.00,-1000.00,2.00,0.40,0.00
399030656818342_1100203883367679,SHWAPNO Introduces Fall Collection 2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100203883367679/?type=3,2016-09-07 11:30:00,218,0,2,218,0,0,0,0,0,0,0.00,0.00,-1000.00,2.00,0.40,0.00
399030656818342_1100203776701023,SHWAPNO Introduces Fall Collection 2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100203776701023/?type=3,2016-09-07 11:00:01,367,0,5,365,2,0,0,0,0,0,0.00,0.00,-1000.00,2.00,0.40,0.00
399030656818342_1100201336701267,SHWAPNO Introduces Fall Collection 2016,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1100201336701267/?type=3,2016-09-07 10:30:00,368,4,6,359,6,3,0,0,0,0,0.00,0.00,-1000.00,2.00,0.40,0.00
399030656818342_1100137060041028,,Shwapno Life Fall Collection 2016,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.1100137030041031.1073741872.399030656818342/1100137060041028/?type=3,2016-09-07 08:19:27,405,3,10,401,1,3,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1092262004161867,Check out the SHWAPNO Life SALE at our stores,SHWAPNO,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.1073729762681758.1073741871.399030656818342/1073729842681750/?type=3,2016-08-28 01:46:59,6313,12,0,6298,8,6,0,1,0,0,0.00,0.00,-1000.00,2.00,0.20,0.00
399030656818342_1074233092631425,,Shwapno Life SALE!,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.1073729762681758.1073741871.399030656818342/1073729842681750/?type=3,2016-08-03 06:58:05,4817,22,27,4779,19,15,4,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
