status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
407422362695986_578024292302458,"লাইফবয় ফ্রেন্ডশিপ হসপিটাল, দেশের প্রত্যন্ত অঞ্চলের সুবিধাবঞ্চিত মানুষের মুখে হাসি ফুটিয়ে আসছে এক যুগ ধরে! পৌঁছানো দুষ্কর, দেশজুড়ে এমন সব দুর্গম চরাঞ্চলে পৌঁছে দিয়েছে স্বাস্থ্যসেবা, দেখিয়েছে আলোর মুখ, বাঁচিয়ে রেখেছে সম্ভাবনা।

স্বাস্থ্যসেবার মাধ্যমে ভাসমান এ হসপিটাল আজ হয়ে উঠেছে লক্ষ মানুষের জীবনতরী।

#LifebuoyFriendshipHospital",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/576835649087989/?type=3,2014-10-11 00:00:00,109,2,2,109,0,0,0,0,0,0
407422362695986_577772632327624,"বাংলাদেশের বিভিন্ন স্কুলে সাবান দিয়ে হাত ধোয়ার মতো সহজ এবং জীবনরক্ষাকারী অভ্যাসের চর্চা ও সচেতনতা বাড়াতে সহযোগী হিসেবে কাজ করে আসছে লাইফবয়। 
Lifebuoy এর সাথে যোগ দিন এবং এই শিশুদের জীবন বাঁচাতে আমাদের সাহায্য করুন!

#HelpAChildReach5",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/576835212421366/?type=3,2014-10-10 10:00:05,10425,79,47,10425,0,0,0,0,0,0
407422362695986_577690052335882,"Every year 2 million children under the age of 5 die of infections like diarrhoea & pneumonia. A lot of these deaths can be prevented by a simple act of handwashing.

Let’s join with Lifebuoy and help the children to enjoy their 5th birthday. 

#HelpAChildReach5",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/577689809002573/?type=3,2014-10-10 06:34:21,7558,22,14,7558,0,0,0,0,0,0
407422362695986_577369679034586,"We want everyone to adapt handwashing as a measure to reduce newborn mortality. 

 Join this movement with Lifebuoy and spread the handwashing message across the country.

#HelpAChildReach5",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/576834115754809/?type=3,2014-10-09 11:00:00,7941,30,30,7941,0,0,0,0,0,0
407422362695986_577175525720668,"It's simply not acceptable that diseases that are preventable can be a reason for a child's death.

Support Lifebuoy by spreading handwashing awareness in your community. 

#HelpAChildReach5",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/576833105754910/?type=3,2014-10-09 00:00:00,8532,43,13,8532,0,0,0,0,0,0
407422362695986_576849572419930,"We want every child to turn 5, which is why we always promote handwashing with a soap as this is one of the key factors for newborn survival

Join with Lifebuoy & help us save these lives now.

#HelpAChildReach5",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/576832132421674/?type=3,2014-10-08 09:00:01,7887,24,9,7887,0,0,0,0,0,0
407422362695986_575829469188607,,Lifebuoy's cover photo,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407785259326363.1073741828.407422362695986/575829459188608/?type=3,2014-10-06 02:48:38,26,1,1,26,0,0,0,0,0,0
407422362695986_575829395855281,"ঈদ মানে খুশী, ঈদ মানে আনন্দ। আলোকিত হোক সবার জীবন- এই কামনায় লাইফবয়-এর পক্ষ থেকে সবাইকে ঈদের শুভেচ্ছা!",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/575829305855290/?type=3,2014-10-06 02:48:18,22,1,1,22,0,0,0,0,0,0
407422362695986_543458652425689,"গতকাল ছিলো #SpiritofRamadan ইফতার! 

কালকের ইফতারে ছিলো ""জাগো ফাউন্ডেনশন"" এর ১০০ জন সুবিধাবঞ্চিত শিশু, এবং তাঁদের সাথে একই টেবিলে আন্তরিকতার সাথে ইফতার করেছে ২৫০ জন মানুষ। এবং তাঁদের সকলের জন্য ছিলো নর্‌, লাইফবয়, পিওর্‌ইট, ও তাজার পক্ষ থেকে নানা ধরণের আয়োজন।  অনুষ্ঠান শেষে সব শিশুদের মুখে ছিল অসম্ভব সুন্দর হাসি!

চলুন রমজানের এই উলটো কে পালটে দেওয়ার চেতনাকে শুধু একটি মাসের মধ্যে সীমাবদ্ধ না রেখে বরং সবার মাঝে ছড়িয়ে দেই সারা বছর জুড়ে।   

 #SpiritofRamadan",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/543457409092480/?type=3,2014-07-25 02:23:55,27,0,1,27,0,0,0,0,0,0
407422362695986_538091719629049,"রমজানে আমরা এমন অনেক কিছুই করি যার উল্টোটা আমাদের করার কথা। তাই এখনও অসংখ্য মানুষকে থাকতে হয় অসুস্থ।

রমজান হোক পরিচ্ছন্নতায় পরিপূর্ণ! চলুন সব উল্টোকে পালটে দেই।

নিচের লিংকে ক্লিক করে ভিডিওটি দেখুন এবং #SpiritofRamadan এর চেতনাকে ছড়িয়ে দিন সবার মাঝে।

https://www.youtube.com/watch?v=tMyV1L6f5Fk

যোগ দিন #SpiritofRamadan -এর ইফতার টেবিলে। রেজিস্ট্রেশন করতে লগ ইন করুন এই লিংকে-
http://bit.ly/1noPi2J",Spirit of Ramadan,video,https://www.youtube.com/watch?v=tMyV1L6f5Fk,2014-07-12 08:29:10,5948,26,123,5948,0,0,0,0,0,0
