status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
220285161335347_1751331638230684,মীনা বাজার পরিবারের পক্ষ থেকে সবাইকে বিজয় দিবসের শুভেচ্ছা। বিজয়ের আনন্দ হোক সামনে এগিয়ে যাওয়ার প্রেরণা।,,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1751331424897372/?type=3,2017-12-15 21:00:00,139,3,0,135,4,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
220285161335347_1749988601698321,"মীনা বাজারের weekend ধামাকা অফারে আকর্ষণীয় মূল্য ছাড়ে আড়ং টক দই কিনতে আজই চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে।
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য শুক্র এবং শনিবারের জন্য।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1749988195031695/?type=3,2017-12-14 22:00:00,5893,13,4,5852,14,1,21,1,1,3,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1749987928365055,"চলছে মীনা বাজারের weekend ধামাকা অফার। weekend ধামাকা অফারে বিশেষ ছাড়ে আলু কিনতে আজই চলে আসুন নিকটস্থ মীনা বাজার আউটলেটে। 
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য শুক্র এবং শনিবারের জন্য।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1749987765031738/?type=3,2017-12-14 21:30:00,7020,22,11,6987,10,10,11,1,0,1,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1749987401698441,"আকর্ষণীয় ছাড়ে পেঁয়াজ, 
মীনা বাজার ছাড়া দেবে কে আজ? 
চলছে মীনা বাজারের weekend ধামাকা অফার। আর এই অফারে আকর্ষণীয় মূল্য ছাড়ে পেঁয়াজ কিনতে আজই চলে আসুন নিকটস্থ মীনা বাজার আউটলেটে। অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য শুক্র এবং শনিবারের জন্য।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1749986758365172/?type=3,2017-12-14 21:00:00,6951,28,20,6889,14,7,31,1,3,6,0.00,0.00,-1000.00,2.00,0.00,-1000.00
220285161335347_1749986575031857,"সপ্তাহের শেষ মানেই মীনা বাজারের weekend ধামাকা অফার! এই weekend ধামাকা অফারে আকর্ষণীয় ছাড়ে চামড়া ছাড়া ব্রয়লার মুরগি কিনতে চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে। 
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য শুক্র এবং শনিবারের জন্য।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1749985928365255/?type=3,2017-12-14 12:00:00,6569,17,9,6541,8,2,12,0,3,3,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1749983191698862,"সপ্তাহের শেষ মানেই মীনা বাজারের weekend ধামাকা অফারের শুরু! আর এই weekend ধামাকা অফারে অবিশ্বাস্য মূল্য ছাড়ে হাড়সহ গরুর মাংস কিনতে চলে আসুন নিকটস্থ মীনা বাজার আউটলেটে। 
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য শুক্র এবং শনিবারের জন্য।",Weekend Dhamaka Offer - Beef,video,https://www.facebook.com/meenabazar.bd/videos/1749983191698862/,2017-12-14 11:12:00,261,3,7,255,4,2,0,0,0,0,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1747730291924152,Fruit salad or vegetable salad- which one do you prefer? Take a screenshot and post in the comment section to let us know about your favorite kind of salad.,Fruit Salad or Vegetable Salad,video,https://www.facebook.com/meenabazar.bd/videos/1747730291924152/,2017-12-12 06:07:00,434,16,4,428,6,0,0,0,0,0,0.55,0.46,-1000.00,2.00,0.30,0.68
220285161335347_1747602441936937,"With the start of the second week, get ready to be one of the highest purchasing 20 Club Members of the week to get amazing offers for 2 Nights and 3 Days at Royal Tulip Sea Pearl Beach Resort. Among the 20 winners, Royal Tulip will offer:
100% Discount to 1st and 2nd Club Members,
65% Discount to 3rd Club Member,
55% Discount to 4th Club Member and 
50% Discount to the rest of the Club Members. 
Offer available until 31st December! Don't miss the opportunity of having the most desired trip of this season.",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1747602101936971/?type=3,2017-12-12 01:50:49,5058,6,4,5047,6,1,0,0,0,4,0.32,0.88,-1000.00,2.00,0.40,0.88
220285161335347_1746617078702140,Grab your favorite Snack products from your nearest Meena Bazar Outlet or call on 09678666111 to order right away!,Meena Bazar,link,http://www.meenaclick.com/search/golden-harvest-french-fries,2017-12-11 05:35:59,251,3,0,247,3,0,0,0,0,1,0.43,0.51,-1000.00,1.00,0.80,0.48
220285161335347_1745584478805400,It's your turn to take advantage of being a valuable Club Card member of Meena Bazar. Now enjoy 10% DISCOUNT at Artisan for a year by being a Club Card Member. Please show your club card to the cashier at Artisan while purchasing.,,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1745584222138759/?type=3,2017-12-10 06:00:00,89,0,4,86,1,2,0,0,0,0,0.40,0.86,-1000.00,2.00,0.20,0.61
