8,7,3622,0.353553391,1027.47009,1,30,2,8,1,5,1
10,16,633,2.716206505,84.62852159,1,60,2,9,1,3,1
15,16,1842,0.25819889,134.4147101,0,50,1,15,1,5,1
21,42,4091.48,2.469817807,213.6591564,0,46,3,19,2,4,0
64,71,9882.75,0.566727938,141.6336004,0,26,3,64,1,10,1
31,52,3628.17,1.136869877,107.5392525,1,15,2,30,1,8,0
257,447,52779.09,3.668666457,231.4772811,0,5,11,166,2,10,0
121,224,14287.85,4.836770887,141.6544114,0,5,27,74,1,9,0
160,189,20892.94,1.175600342,109.5463525,0,3,22,106,3,10,0
5,5,1964.1,0,337.5219263,0,66,1,5,1,3,1
11,21,2161.4,2.809076199,236.6776942,0,22,2,10,1,4,0
23,33,4495.08,1.440520328,227.2777067,2,0,3,22,2,6,0
15,18,2337,0.560611911,174.110474,0,2,2,14,1,6,0
20,40,4893.73,2.675424216,576.8785638,1,17,2,20,2,6,0
44,57,7277.58,0.509424913,153.3512901,1,2,2,44,1,8,0
7,15,1287.26,1.463850109,114.1284953,7,19,4,7,1,5,0
2,3,200,0.707106781,42.42640687,0,18,1,2,1,1,0
12,16,849,0.651338947,41.0279838,0,49,1,12,1,7,1
7,9,1741.07,0.487950036,372.4853126,0,62,1,7,1,5,1
64,105,9956.2,1.626830471,200.9249949,0,21,9,61,1,12,0
73,118,8125.82,1.680196227,115.5859938,0,2,12,60,2,11,0
39,85,7488.8,2.634505795,171.2513661,1,8,6,33,1,8,1
47,61,8942.15,0.622578566,203.5188596,1,14,5,42,2,9,0
31,36,4646,0.454369467,107.7966425,1,22,7,30,1,6,1
107,213,39642.21,4.824261263,447.2662886,0,15,3,100,1,11,1
3,3,1150,0,112.398102,0,8,1,3,1,2,1
2,2,143,0,16.26345597,0,31,1,2,1,2,1
1,1,230,0,0,0,70,1,1,1,1,1
9,6,2264.5,0.866025404,332.3854522,1,24,2,9,1,2,1
6,26,1336.9,7.685484153,216.8191912,4,29,2,6,1,5,1
15,27,3141,1.567527626,214.9783378,0,40,1,15,1,5,1
16,19,1579,0.403112887,59.60058025,0,49,1,16,1,6,1
8,9,939,0.353553391,51.69398279,0,42,1,8,1,5,0
141,237,33310.56,2.217846925,318.6202245,0,1,10,111,1,9,0
29,31,3459,0.257880715,112.8927736,0,11,2,29,1,6,0
109,245,19717.8,4.350725702,204.2295193,0,4,11,75,3,13,0
42,54,6182.46,1.088425004,136.8568334,1,0,5,37,2,8,0
2,2,130,0,7.071067812,0,71,1,2,1,2,1
8,9,3256.82,0.640869944,375.3453796,0,69,1,8,1,4,1
2,2,165,0,24.74873734,0,49,1,2,1,2,1
23,21,1829.49,1.083472678,88.78878059,0,35,3,23,2,6,1
22,34,4319,1.010764573,262.2671096,0,51,1,22,1,6,1
25,28,6316,0.331662479,237.8460699,2,14,10,23,1,6,0
30,40,9724.01,0.758098044,325.2505073,0,53,3,30,1,8,1
29,50,3190.53,2.986834824,93.8329864,0,32,2,28,1,7,0
28,75,6662.78,3.220922015,251.6336511,1,21,8,28,1,9,1
11,24,872.92,3.311138228,49.42684438,1,2,3,11,1,4,0
105,205,25761.2,2.715273582,401.3989765,0,14,6,80,1,8,0
82,114,10817.32,1.331073062,165.010182,0,3,10,74,1,11,0
73,126,7899.42,2.364437177,126.0475812,0,11,8,57,1,9,0
75,355,25661.47,4.485210933,279.994809,0,1,38,30,1,8,0
63,85,14634.56,1.536215817,332.0202822,0,27,4,60,2,10,1
11,14,3843.05,1.420627262,381.3242861,3,25,3,10,1,5,0
1,1,320,0,0,0,25,1,1,1,1,1
6,7,1495,0.40824829,150.4797882,2,38,3,6,3,3,1
9,17,2031,1.833333333,147.6930939,0,9,1,9,1,3,0
78,93,9132.93,0.64581957,89.61601661,0,5,6,65,3,9,0
44,87,11000.65,1.562476215,341.8714071,1,23,4,39,1,9,0
19,23,2613,0.418853908,138.7801492,0,3,4,19,2,7,0
2,4,362.94,0,67.82568245,0,61,1,2,1,1,1
3,6,1682.28,1.732050808,498.1855606,7,27,2,3,1,2,1
4,3,624.6,0.5,143.5500726,0,42,1,4,1,2,1
3,3,826.44,0,162.4431421,20,7,2,3,1,3,1
11,13,1277,0.404519917,116.3601775,3,0,3,11,1,4,1
19,22,3658.45,0.764719113,238.1992263,3,6,3,17,1,5,1
3,3,300,0,139.0827092,0,24,1,3,1,2,0
13,17,3535.22,0.480384461,301.5672453,3,15,4,13,3,5,1
4,5,840,0.5,237.3113286,0,58,1,4,1,2,1
38,40,4380,0.226294286,66.35803143,1,22,4,33,1,5,0
170,219,20595.33,1.686838138,207.2051207,0,5,18,121,1,10,0
24,68,6921.55,5.997584055,390.87237,2,2,9,21,1,8,0
114,225,20289.78,4.836184641,265.9731432,0,2,9,86,2,12,0
5,9,2149.36,1.303840481,790.5890817,0,65,1,5,1,5,1
15,29,2229.63,2.604026187,146.3066428,2,9,5,14,1,5,0
7,4,865.75,0.534522484,161.6030808,3,26,2,7,1,4,0
16,19,3999.62,0.403112887,298.9885916,1,14,2,16,1,6,0
16,170,2106.02,19.5512148,60.43253372,3,10,7,13,2,4,0
47,98,5913.62,3.628568931,107.4308244,1,2,5,41,1,11,0
102,137,10732.71,1.156086759,176.5325099,0,8,7,77,2,8,0
27,66,4498.01,3.544587785,186.0091266,0,59,2,25,1,5,1
1,2,190,0,0,0,60,1,1,1,1,1
2,4,306,0,9.899494937,0,8,1,2,1,2,1
1,1,540,0,0,0,5,1,1,1,1,1
18,29,2725.7,1.334558261,139.6517509,3,2,3,17,1,6,0
39,71,6786.07,2.024479074,164.7859939,1,0,5,37,3,6,0
20,21,2004,0.223606798,67.47287954,3,1,4,20,1,7,1
43,47,6837.28,0.526170056,169.5173243,1,5,7,36,2,10,0
70,137,8539.68,6.096888525,93.03687617,0,5,8,61,2,9,0
98,207,37036.31,1.661465339,499.7186186,0,3,9,83,1,8,0
58,87,12267.9,1.570003911,303.0785138,1,4,15,48,1,11,1
34,78,11018.48,2.443661086,571.2787679,1,9,10,33,4,8,0
31,26,7332.09,0.582910753,279.5278632,1,2,5,30,2,5,0
72,96,4713.24,1.695063254,45.66165778,0,3,9,58,1,8,0
3,9,705.4,1,76.36761967,0,54,2,3,1,2,1
34,45,4674.88,1.319333813,194.4739156,0,34,1,34,1,8,1
48,65,11086.5,1.120212429,226.7866982,0,2,7,41,3,8,0
46,59,6466.96,0.886015888,533.1978822,0,25,9,43,2,12,1
43,48,8337.34,0.498058245,186.4521687,1,4,7,37,2,10,0
2,5,122,2.121320344,41.01219331,0,10,1,2,1,2,1
3,9,1485.36,1.732050808,464.7914513,0,18,1,3,1,2,1
2,2,895,0,137.8858223,0,16,1,2,1,1,1
3,3,710,0,246.6441431,16,0,2,3,1,3,1
14,17,2074.32,0.578934224,187.4697617,0,8,1,14,1,6,0
31,115,4796.99,9.637404728,199.7509126,1,15,5,28,1,9,0
104,183,23183.36,1.516864371,211.097835,0,19,6,101,2,9,0
22,33,4560.06,1.625686668,299.062788,2,9,3,21,1,6,0
2,3,1871.65,0.707106781,418.3597271,3,66,2,2,1,2,0
3,6,163,1.732050808,41.7891533,0,39,1,3,1,3,1
